id,type,name,name_zh,name_en,latitude,longitude,elevation,prominence,wikipedia,wikidata,description
12468293928,summit_board,西加路蘭山,西加路蘭山,Xijialulanshan,22.8152736,121.1712632,209.00,,,,
12468293875,summit_board,西勢坑山,西勢坑山,Xishikengshan,25.0797386,121.7194025,252.86,,,,
12468294613,summit_board,西勢山,西勢山,Xishishan,24.3867527,121.1100069,2773.21,,,Q31602903,
12468292242,summit_board,西勢湖山,西勢湖山,Xishihushan,23.7048007,120.7680766,1021,,,,
12468291473,summit_board,西北角,,,22.6693846,120.2658594,,,,,
12468291661,summit_board,西原荖腦山,西原荖腦山,Xiyuanlaonaoshan,23.8528195,121.4414532,,,,Q31602831,
12468294927,summit_board,西吉南山,西吉南山,Xijinanshan,24.3200921,121.4871624,2693.94,,,Q31603245,
12468294236,summit_board,西大武山,西大武山,Xidawushan,22.6186422,120.725206,1894.00,,,Q31621253,
12468294027,summit_board,西姑子律山,西姑子律山,Xiguzilvshan,23.4186731,121.4784385,216.59,,,,
12468293030,summit_board,西嫩娃爾山,西嫩娃爾山,Xinenwaershan,23.9325121,121.2173941,1985,,,Q31612770,
12468294926,summit_board,西寶山,西寶山,Xibaoshan,24.212287,121.4668042,1795.28,,,Q31610826,
12468293994,summit_board,西山,西山,Xishan,25.0117082,121.8789019,334.62,,,Q31617422,
12468292949,summit_board,西峰,西峰,Xifeng,22.7325836,120.3060255,54,,,,
12468292088,summit_board,西崁山,西崁山,Mt. Xikan,23.7376609,119.5970744,18,,,,
12468294485,summit_board,西崙天山,西崙天山,Xiluntianshan,23.1866029,121.1552781,1978.44,,,,
12468295228,summit_board,西巒大山,西巒大山,Xiluandashan,23.6940034,120.9473179,3081,,zh:西巒大山,Q17067002,
12468292986,summit_board,西川山,西川山,Xichuanshan,22.6827983,121.0267583,,,,Q31603187,
12468292795,summit_board,西帽子岩,西帽子岩,Ximaoziyan,24.9820023,121.644434,480,,,,
12468291504,summit_board,西帽山,,,24.5513813,121.8145225,960,,,,
12468292611,summit_board,西平山,西平山,Xipingshan,24.1929712,120.7369525,,,,,
12468295206,summit_board,西平山,西平山,Xipingshan,24.1942167,120.7361333,409,,,,
12468291464,summit_board,西德山北峰,,,24.5626321,121.751113,1200,,,,
12468292603,summit_board,西新城山,西新城山,Xixinchengshan,24.7678554,121.1620456,,,,,
12468292086,summit_board,西朗吾呂山,西朗吾呂山,Xilangwulvshan,22.7625942,120.81338,1039,,,,
12468292159,summit_board,西桃山,西桃山,Xitaoshan,24.5949326,121.0981254,,,,,
12468294385,summit_board,西橫龍山,西橫龍山,Xihenglongshan,24.4849739,120.9543502,1090.00,,,,
12468294434,summit_board,西油羅山,西油羅山,Xiyouluoshan,24.6356841,121.1563366,1120,,,,
12468293441,summit_board,西港仔湖山,西港仔湖山,Xigangzaihushan,23.2388249,120.4199333,187.77,,,,
12468293123,summit_board,西湖山,西湖山,Xihushan,25.0924203,121.5663481,196.00,,,,
12468292653,summit_board,西烏帽山,西烏帽山,Xiwumaoshan,24.573465,121.7147487,1007,,,Q31617346,
12468293351,summit_board,西熊空山,西熊空山,Xixiongkongshan,24.8810198,121.4401349,792.00,,,Q31603131,
12468293279,summit_board,西獅頭山,西獅頭山,Xishitoushan,24.7440982,121.1911484,360.00,,,Q31614860,
12468293312,summit_board,西白毛山,西白毛山,Xibaimaoshan,24.1488751,120.8760629,874.90,,,,
12468294176,summit_board,西老山,西老山,Xilaoshan,22.4215033,120.8791566,870.00,,,,
12498180065,summit_board,西胡山北峰,,,25.0979604,121.5646526,230,,,,
12468294527,summit_board,西良母嵐山,西良母嵐山,Xiliangmulanshan,23.2352441,120.7905787,1688.47,,,,
12468294267,summit_board,西良母嵐山南峰,西良母嵐山南峰,Xiliangmulanshannanfeng,23.2141796,120.7987986,860.00,,,,
12468291408,summit_board,西苧子園,,,24.770398,121.1650282,267,,,,
12468294155,summit_board,西規那山,西規那山,Xiguinashan,22.6303321,120.9225846,1090.00,,,,
12468293746,summit_board,西門庄,西門庄,Ximenzhuang,25.1547908,121.4289072,82.54,,,,
12468292686,summit_board,西關刀山,西關刀山,Xiguandaoshan,24.0056888,120.9989751,,,,Q31603114,
12468294350,summit_board,西關刀山北峰,西關刀山北峰,Xiguandaoshanbeifeng,24.0169156,121.0057409,1450.00,,,,
12468293311,summit_board,西關刀山南峰,西關刀山南峰,Xiguandaoshannanfeng,23.9975786,120.9985281,1107.00,,,,
12468294358,summit_board,西關刀山東南南峰,西關刀山東南南峰,Xiguandaoshandongnannanfeng,23.9900576,121.0091083,920.00,,,,
